y	m	p_m1	p_m	STATUS	NOTE	UPm1_num	LOm_num	DEN	gap_lo_num	gap_hi_num	gap_DEN
139	2445	22093	22109	OK		415888077068038159386443549204984705751799	415915215935662678096753116406480009523450	600000000000000000000000000000000000000000	1313847641381467110050953690140072175289032414396851933202846873233731356600000000000000000000000000000000000000000	23126792902626389572366992123509350108061615315247240800569603617318181682600000000000000000000000000000000000000000	-
149	2609	23753	23761	OK		415875000964454270947177709352562112132646	415900252945095933540259405555428749724155	600000000000000000000000000000000000000000	583232867614643062506478541152777287837860539396851933202846873233731356600000000000000000000000000000000000000000	1330737151291470316156352234382871265408061615315247240800569603617318181682600000000000000000000000000000000000000000	-
151	2774	25463	25469	OK		415885804580963100560743686884683701119007	415909363082896460443260779924721501121615	600000000000000000000000000000000000000000	1028063814905995748120461416775404116939423039396851933202846873233731356600000000000000000000000000000000000000000	250375500408508959558599022223972629308061615315247240800569603617318181682600000000000000000000000000000000000000000	-
157	2948	27253	27259	OK		415883791937957611830203996511051391791963	415905803410669645810858477850150397841320	600000000000000000000000000000000000000000	854251694456062525351805431858251758785126164396851933202846873233731356600000000000000000000000000000000000000000	451639800957382013527636385454905333708061615315247240800569603617318181682600000000000000000000000000000000000000000	-
163	3127	29101	29123	OK		415882032458558468687274092345692318387219	415902635076747041602619880145036362778820	600000000000000000000000000000000000000000	699547889641403919951526861837008472652313664396851933202846873233731356600000000000000000000000000000000000000000	627587740871696306518052921362245808108061615315247240800569603617318181682600000000000000000000000000000000000000000	-
167	3311	31079	31081	OK		415880231824644860707203288180743235138666	415899536525813849556993754684071376136400	600000000000000000000000000000000000000000	548251457356636067113369588156020073238251164396851933202846873233731356600000000000000000000000000000000000000000	807651132232494313598469416270570663408061615315247240800569603617318181682600000000000000000000000000000000000000000	-
173	3502	33023	33029	OK		415870521165744269747728317034405837960467	415888687288376792171828879284144170270895	600000000000000000000000000000000000000000	18503535625318432109687951085421171626923039396851933202846873233731356600000000000000000000000000000000000000000	1778717022291590261095584050010288483308061615315247240800569603617318181682600000000000000000000000000000000000000000	-
179	3699	35069	35081	OK		415884562947417751201470221221888514586817	415901666460644226876779353982133482542940	600000000000000000000000000000000000000000	652252181496153634769585313844809455074188664396851933202846873233731356600000000000000000000000000000000000000000	374538854943444886905165301742625848308061615315247240800569603617318181682600000000000000000000000000000000000000000	-
181	3900	37189	37199	OK		415877252982222266523384051619587130795151	415893382659719559422539907513575899037220	600000000000000000000000000000000000000000	247769714471375595734113216306552339839813664396851933202846873233731356600000000000000000000000000000000000000000	1105535374491912695522125531881005014908061615315247240800569603617318181682600000000000000000000000000000000000000000	-
191	4112	39451	39461	OK		415887462299377096352407114181558109052735	415902667373357021233310056629738549257045	600000000000000000000000000000000000000000	701124872550565574745300528935957604732391789396851933202846873233731356600000000000000000000000000000000000000000	84603659008929793215869334783179256508061615315247240800569603617318181682600000000000000000000000000000000000000000	-
193	4324	41759	41761	OK		415884003828083724403131239356760274235413	415898371468117502001851325697701143703080	600000000000000000000000000000000000000000	491363874527165601174454238047014540035126164396851933202846873233731356600000000000000000000000000000000000000000	430450788346124720803351814566660988708061615315247240800569603617318181682600000000000000000000000000000000000000000	-
197	4546	44089	44101	OK		415887846845242833907600156221570778031806	415901452129592761596646959704636516224950	600000000000000000000000000000000000000000	641786798123825503305020982938250959468719914396851933202846873233731356600000000000000000000000000000000000000000	46149072435174273911665333516281349408061615315247240800569603617318181682600000000000000000000000000000000000000000	-
199	4775	46639	46643	OK		415877742388874893505320728412313758151139	415890606190187856743362927368116558333965	600000000000000000000000000000000000000000	112199913118705714045629551299682063716766789396851933202846873233731356600000000000000000000000000000000000000000	1056594709229214501854446259218269416108061615315247240800569603617318181682600000000000000000000000000000000000000000	-
211	5016	49223	49253	OK		415883425269941176021027320091591713188306	415895607389913105394304997466448401594380	600000000000000000000000000000000000000000	356399118453112498326396071409216263667938664396851933202846873233731356600000000000000000000000000000000000000000	488306602600962931195278331422765699408061615315247240800569603617318181682600000000000000000000000000000000000000000	-
223	5255	51817	51827	OK		415883226736261132965632388591149544377961	415894803822732924578144912953422089598935	600000000000000000000000000000000000000000	317162439733346084259769458796325861080048039396851933202846873233731356600000000000000000000000000000000000000000	508159970605268470688428375639646733908061615315247240800569603617318181682600000000000000000000000000000000000000000	-
227	5493	54443	54449	OK		415885805370368873991438223907932287093522	415896824955438629630371810740938438606800	600000000000000000000000000000000000000000	415850560129100587526262989868054760738251164396851933202846873233731356600000000000000000000000000000000000000000	250296559831165890104896697365375177808061615315247240800569603617318181682600000000000000000000000000000000000000000	-
229	5738	57059	57073	OK		415883143911654599708647567596235444232537	415893656853673771336541635274070095040765	600000000000000000000000000000000000000000	261158091141879209099726521687216575435516789396851933202846873233731356600000000000000000000000000000000000000000	516442431258594169170527867049661276308061615315247240800569603617318181682600000000000000000000000000000000000000000	-
233	5993	59771	59779	OK		415886565247055934520677625126485954665681	415896602298663131562083390417576255824885	600000000000000000000000000000000000000000	404978647262983971880739388198973612544891789396851933202846873233731356600000000000000000000000000000000000000000	174308891125112966164774841998617961908061615315247240800569603617318181682600000000000000000000000000000000000000000	-
239	6255	62851	62861	OK		415879395032486133448567881336731040875203	415888939975574798449906013773457434109805	600000000000000000000000000000000000000000	30841777715468728844770437084632055904266789396851933202846873233731356600000000000000000000000000000000000000000	891330348105220177139153817489997009708061615315247240800569603617318181682600000000000000000000000000000000000000000	-
241	6524	65831	65837	OK		415881611925336288996211748100298577305509	415890725409503874844587503282944725973285	600000000000000000000000000000000000000000	118021168783652062901875392518805077388641789396851933202846873233731356600000000000000000000000000000000000000000	669641063089665412752477460736353979108061615315247240800569603617318181682600000000000000000000000000000000000000000	-
251	6804	69011	69019	OK		415887974316897895432612200004116917123959	415896667636891594966062866023515332950360	600000000000000000000000000000000000000000	408168990449673619316071709442973879878876164396851933202846873233731356600000000000000000000000000000000000000000	33401906929021772707287078902372134108061615315247240800569603617318181682600000000000000000000000000000000000000000	-
257	7084	72091	72101	OK		415880868106873979644025754683332756125590	415889189823237185301361942862502649387535	600000000000000000000000000000000000000000	43041370605451710091307988120534288814423039396851933202846873233731356600000000000000000000000000000000000000000	744022909320600631351819157318471971008061615315247240800569603617318181682600000000000000000000000000000000000000000	-
263	7371	75353	75367	OK		415885365030472003549171447050766574800697	415893326126115584342501875263295120874790	600000000000000000000000000000000000000000	245009284589779890752069745565431127437469914396851933202846873233731356600000000000000000000000000000000000000000	294330549518210116782582413936604460308061615315247240800569603617318181682600000000000000000000000000000000000000000	-
269	7663	78653	78691	OK		415882851686284732993897840636191047788807	415890476493837270445284369054095408303465	600000000000000000000000000000000000000000	105867083500234128178524374485715730708954289396851933202846873233731356600000000000000000000000000000000000000000	545664968245265644143223871489305649308061615315247240800569603617318181682600000000000000000000000000000000000000000	-
271	7961	81973	82003	OK		415881147939200705890820066478033370839640	415888464788350528106339824415862584346455	600000000000000000000000000000000000000000	7639276530393359401930710773608454830048039396851933202846873233731356600000000000000000000000000000000000000000	716039676647975951920639687257000566008061615315247240800569603617318181682600000000000000000000000000000000000000000	-
277	8270	85571	85577	OK		415883955649808311658799529290803940395267	415890966919563237046726720152479757746505	600000000000000000000000000000000000000000	129813652150947089230824100284028379146454289396851933202846873233731356600000000000000000000000000000000000000000	435268615887399153974358410200045003308061615315247240800569603617318181682600000000000000000000000000000000000000000	-
281	8585	89231	89237	OK		415883709128186605294063325238321584467876	415890432833505736241476173446347721118790	600000000000000000000000000000000000000000	103735231374540582856473214930677416499969914396851933202846873233731356600000000000000000000000000000000000000000	459920778058035627594763658435637742408061615315247240800569603617318181682600000000000000000000000000000000000000000	-
283	8909	92821	92831	OK		415886783794213299189286369390383305965320	415893247186453474989221804046210085234210	600000000000000000000000000000000000000000	241154808900846625123592348835175239742157414396851933202846873233731356600000000000000000000000000000000000000000	152454175388646105290348452263487998008061615315247240800569603617318181682600000000000000000000000000000000000000000	-
293	9243	96601	96643	OK		415885091770770103429844558701179612844769	415891300218783316563116881527389157777950	600000000000000000000000000000000000000000	146088028131392225469172484532076789546844914396851933202846873233731356600000000000000000000000000000000000000000	321656519708222049471417372632800053108061615315247240800569603617318181682600000000000000000000000000000000000000000	-
307	9579	100549	100559	OK		415884384949871766367240611143748781592137	415890351625391515452702677910331225682085	600000000000000000000000000000000000000000	99769991422353631025636495375236171138641789396851933202846873233731356600000000000000000000000000000000000000000	392338609541928309866173115715925316308061615315247240800569603617318181682600000000000000000000000000000000000000000	-
311	9913	104479	104491	OK		415887958844628250397333430439379206538102	415893700992886604092220469631508991320870	600000000000000000000000000000000000000000	263313326143478607480310381008324002437469914396851933202846873233731356600000000000000000000000000000000000000000	34949133893525300584243552673430719808061615315247240800569603617318181682600000000000000000000000000000000000000000	-
