[sieve] sieving primes up to 950000000 ...
y	m	p_m1	p_m	STATUS	gap_log
1319	138822	1856963	1856969	OK	4.651302e-07
1321	140237	1877179	1877189	OK	4.520784e-07
1327	141665	1897733	1897741	OK	2.608483e-07
1361	143103	1918439	1918451	OK	4.888645e-07
1367	144519	1939073	1939097	OK	1.333344e-07
1373	145945	1959701	1959707	OK	4.245415e-07
1381	147379	1980877	1980899	OK	1.382551e-07
1399	148821	2001547	2001553	OK	4.257772e-07
1409	150258	2022067	2022077	OK	1.423290e-07
1423	151700	2043047	2043053	OK	9.304617e-08
1427	153143	2064151	2064169	OK	2.121330e-07
1429	154597	2085667	2085673	OK	4.519497e-07
1433	156063	2106833	2106847	OK	2.431456e-07
1439	157540	2128439	2128447	OK	1.065885e-07
1447	159026	2150023	2150039	OK	5.663323e-08
1451	160519	2171753	2171759	OK	1.506366e-07
1453	162023	2193643	2193649	OK	2.524081e-07
1459	163540	2216117	2216143	OK	2.423383e-07
1471	165066	2238421	2238473	OK	1.639918e-07
1481	166595	2260681	2260691	OK	2.006951e-07
1483	168128	2283067	2283077	OK	4.870023e-09
1487	169675	2305889	2305903	OK	1.265595e-07
1489	171233	2328967	2328971	OK	1.367172e-07
1493	172805	2352433	2352473	OK	3.443269e-07
1499	174388	2375719	2375743	OK	3.915519e-07
1511	175980	2398681	2398699	OK	3.524679e-07
1523	177575	2422327	2422351	OK	3.752638e-07
1531	179172	2446009	2446013	OK	1.754949e-08
1543	180777	2469653	2469659	OK	6.877769e-08
1549	182385	2493563	2493587	OK	1.446283e-07
1553	184002	2517283	2517289	OK	1.734798e-07
1559	185630	2541233	2541251	OK	1.289079e-07
1567	187268	2565593	2565611	OK	3.670166e-07
1571	188912	2589319	2589341	OK	2.284723e-07
1579	190568	2614123	2614133	OK	3.722207e-07
1583	192230	2638687	2638693	OK	6.030980e-08
1597	193904	2663159	2663189	OK	2.178164e-08
1601	195579	2688167	2688173	OK	2.984659e-08
1607	197266	2712823	2712851	OK	3.042769e-07
1609	198961	2738387	2738389	OK	1.108818e-07
1613	200671	2763643	2763659	OK	3.541612e-07
1619	202391	2789407	2789441	OK	4.150910e-08
1621	204122	2814557	2814563	OK	2.777571e-07
1627	205865	2840039	2840041	OK	9.152083e-09
1637	207619	2866277	2866289	OK	2.852890e-07
1657	209377	2892931	2892937	OK	6.724263e-08
1663	211131	2919061	2919071	OK	3.087294e-07
1667	212893	2945461	2945473	OK	6.190680e-08
1669	214668	2972033	2972041	OK	2.433534e-07
1693	216456	2998423	2998483	OK	1.659305e-07
1697	218235	3025291	3025301	OK	3.264793e-07
1699	220025	3052403	3052417	OK	2.584932e-07
1709	221829	3079049	3079081	OK	2.410732e-07
1721	223638	3106073	3106079	OK	2.088176e-07
1723	225450	3133153	3133171	OK	1.505946e-07
1733	227276	3160427	3160519	OK	1.803305e-07
