Pivot-only table (Appendix A)
mreq_mode=exact  (prec=120, ln1p_terms=18, ln2_terms=40)
y in [3,30000], prime_limit=5000000
+-------+------------------+---------+
| y     | mreq_status      | mreq(y) |
| 1831  | OK_EXACT         | 249755  |
| 1847  | OK_EXACT         | 251673  |
| 1861  | OK_EXACT         | 253591  |
| 1867  | OK_EXACT         | 255509  |
| 1871  | OK_EXACT         | 257437  |
| 1873  | OK_EXACT         | 259376  |
| 1877  | OK_EXACT         | 261329  |
| 1879  | OK_EXACT         | 263294  |
| 1889  | OK_EXACT         | 265272  |
| 1901  | OK_EXACT         | 267255  |
| 1907  | OK_EXACT         | 269242  |
| 1913  | OK_EXACT         | 271238  |
| 1931  | OK_EXACT         | 273244  |
| 1933  | OK_EXACT         | 275247  |
| 1949  | OK_EXACT         | 277264  |
| 1951  | OK_EXACT         | 279280  |
| 1973  | OK_EXACT         | 281309  |
| 1979  | OK_EXACT         | 283332  |
| 1987  | OK_EXACT         | 285364  |
| 1993  | OK_EXACT         | 287403  |
| 1997  | OK_EXACT         | 289452  |
| 1999  | OK_EXACT         | 291512  |
| 2003  | OK_EXACT         | 293587  |
| 2011  | OK_EXACT         | 295673  |
| 2017  | OK_EXACT         | 297766  |
| 2027  | OK_EXACT         | 299869  |
| 2029  | OK_EXACT         | 301978  |
| 2039  | OK_EXACT         | 304100  |
| 2053  | OK_EXACT         | 306229  |
| 2063  | OK_EXACT         | 308358  |
| 2069  | OK_EXACT         | 310494  |
| 2081  | OK_EXACT         | 312638  |
| 2083  | OK_EXACT         | 314786  |
| 2087  | OK_EXACT         | 316948  |
| 2089  | OK_EXACT         | 319121  |
| 2099  | OK_EXACT         | 321309  |
| 2111  | OK_EXACT         | 323502  |
| 2113  | OK_EXACT         | 325698  |
| 2129  | OK_EXACT         | 327909  |
| 2131  | OK_EXACT         | 330119  |
| 2137  | OK_EXACT         | 332342  |
| 2141  | OK_EXACT         | 334576  |
| 2143  | OK_EXACT         | 336822  |
| 2153  | OK_EXACT         | 339081  |
| 2161  | OK_EXACT         | 341347  |
| 2179  | OK_EXACT         | 343619  |
| 2203  | OK_EXACT         | 345889  |
| 2207  | OK_EXACT         | 348150  |
| 2213  | FAIL_PRIME_LIMIT | -       |
| 2221  | FAIL_PRIME_LIMIT | -       |
| 2237  | FAIL_PRIME_LIMIT | -       |
| 2239  | FAIL_PRIME_LIMIT | -       |
| 2243  | FAIL_PRIME_LIMIT | -       |
| 2251  | FAIL_PRIME_LIMIT | -       |
| 2267  | FAIL_PRIME_LIMIT | -       |
| 2269  | FAIL_PRIME_LIMIT | -       |
| 2273  | FAIL_PRIME_LIMIT | -       |
| 2281  | FAIL_PRIME_LIMIT | -       |
| 2287  | FAIL_PRIME_LIMIT | -       |
| 2293  | FAIL_PRIME_LIMIT | -       |
| 2297  | FAIL_PRIME_LIMIT | -       |
| 2309  | FAIL_PRIME_LIMIT | -       |
| 2311  | FAIL_PRIME_LIMIT | -       |
| 2333  | FAIL_PRIME_LIMIT | -       |
| 2339  | FAIL_PRIME_LIMIT | -       |
| 2341  | FAIL_PRIME_LIMIT | -       |
| 2347  | FAIL_PRIME_LIMIT | -       |
| 2351  | FAIL_PRIME_LIMIT | -       |
| 2357  | FAIL_PRIME_LIMIT | -       |
| 2371  | FAIL_PRIME_LIMIT | -       |
| 2377  | FAIL_PRIME_LIMIT | -       |
| 2381  | FAIL_PRIME_LIMIT | -       |
| 2383  | FAIL_PRIME_LIMIT | -       |
| 2389  | FAIL_PRIME_LIMIT | -       |
| 2393  | FAIL_PRIME_LIMIT | -       |
| 2399  | FAIL_PRIME_LIMIT | -       |
| 2411  | FAIL_PRIME_LIMIT | -       |
| 2417  | FAIL_PRIME_LIMIT | -       |
| 2423  | FAIL_PRIME_LIMIT | -       |
| 2437  | FAIL_PRIME_LIMIT | -       |
| 2441  | FAIL_PRIME_LIMIT | -       |
| 2447  | FAIL_PRIME_LIMIT | -       |
| 2459  | FAIL_PRIME_LIMIT | -       |
| 2467  | FAIL_PRIME_LIMIT | -       |
| 2473  | FAIL_PRIME_LIMIT | -       |
| 2477  | FAIL_PRIME_LIMIT | -       |
| 2503  | FAIL_PRIME_LIMIT | -       |
| 2521  | FAIL_PRIME_LIMIT | -       |
| 2531  | FAIL_PRIME_LIMIT | -       |
| 2539  | FAIL_PRIME_LIMIT | -       |
| 2543  | FAIL_PRIME_LIMIT | -       |
| 2549  | FAIL_PRIME_LIMIT | -       |
| 2551  | FAIL_PRIME_LIMIT | -       |
| 2557  | FAIL_PRIME_LIMIT | -       |
| 2579  | FAIL_PRIME_LIMIT | -       |
| 2591  | FAIL_PRIME_LIMIT | -       |
| 2593  | FAIL_PRIME_LIMIT | -       |
| 2609  | FAIL_PRIME_LIMIT | -       |
| 2617  | FAIL_PRIME_LIMIT | -       |
| 2621  | FAIL_PRIME_LIMIT | -       |
| 2633  | FAIL_PRIME_LIMIT | -       |
| 2647  | FAIL_PRIME_LIMIT | -       |
| 2657  | FAIL_PRIME_LIMIT | -       |
| 2659  | FAIL_PRIME_LIMIT | -       |
| 2663  | FAIL_PRIME_LIMIT | -       |
| 2671  | FAIL_PRIME_LIMIT | -       |
| 2677  | FAIL_PRIME_LIMIT | -       |
| 2683  | FAIL_PRIME_LIMIT | -       |
| 2687  | FAIL_PRIME_LIMIT | -       |
| 2689  | FAIL_PRIME_LIMIT | -       |
| 2693  | FAIL_PRIME_LIMIT | -       |
| 2699  | FAIL_PRIME_LIMIT | -       |
| 2707  | FAIL_PRIME_LIMIT | -       |
| 2711  | FAIL_PRIME_LIMIT | -       |
| 2713  | FAIL_PRIME_LIMIT | -       |
| 2719  | FAIL_PRIME_LIMIT | -       |
| 2729  | FAIL_PRIME_LIMIT | -       |
| 2731  | FAIL_PRIME_LIMIT | -       |
| 2741  | FAIL_PRIME_LIMIT | -       |
| 2749  | FAIL_PRIME_LIMIT | -       |
| 2753  | FAIL_PRIME_LIMIT | -       |
| 2767  | FAIL_PRIME_LIMIT | -       |
| 2777  | FAIL_PRIME_LIMIT | -       |
| 2789  | FAIL_PRIME_LIMIT | -       |
| 2791  | FAIL_PRIME_LIMIT | -       |
| 2797  | FAIL_PRIME_LIMIT | -       |
| 2801  | FAIL_PRIME_LIMIT | -       |
| 2803  | FAIL_PRIME_LIMIT | -       |
| 2819  | FAIL_PRIME_LIMIT | -       |
| 2833  | FAIL_PRIME_LIMIT | -       |
| 2837  | FAIL_PRIME_LIMIT | -       |
| 2843  | FAIL_PRIME_LIMIT | -       |
| 2851  | FAIL_PRIME_LIMIT | -       |
| 2857  | FAIL_PRIME_LIMIT | -       |
| 2861  | FAIL_PRIME_LIMIT | -       |
| 2879  | FAIL_PRIME_LIMIT | -       |
| 2887  | FAIL_PRIME_LIMIT | -       |
| 2897  | FAIL_PRIME_LIMIT | -       |
| 2903  | FAIL_PRIME_LIMIT | -       |
| 2909  | FAIL_PRIME_LIMIT | -       |
| 2917  | FAIL_PRIME_LIMIT | -       |
| 2927  | FAIL_PRIME_LIMIT | -       |
| 2939  | FAIL_PRIME_LIMIT | -       |
| 2953  | FAIL_PRIME_LIMIT | -       |
| 2957  | FAIL_PRIME_LIMIT | -       |
| 2963  | FAIL_PRIME_LIMIT | -       |
| 2969  | FAIL_PRIME_LIMIT | -       |
| 2971  | FAIL_PRIME_LIMIT | -       |
| 2999  | FAIL_PRIME_LIMIT | -       |
| 3001  | FAIL_PRIME_LIMIT | -       |
| 3011  | FAIL_PRIME_LIMIT | -       |
| 3019  | FAIL_PRIME_LIMIT | -       |
| 3023  | FAIL_PRIME_LIMIT | -       |
| 3037  | FAIL_PRIME_LIMIT | -       |
| 3041  | FAIL_PRIME_LIMIT | -       |
| 3049  | FAIL_PRIME_LIMIT | -       |
| 3061  | FAIL_PRIME_LIMIT | -       |
| 3067  | FAIL_PRIME_LIMIT | -       |
| 3079  | FAIL_PRIME_LIMIT | -       |
| 3083  | FAIL_PRIME_LIMIT | -       |
| 3089  | FAIL_PRIME_LIMIT | -       |
| 3109  | FAIL_PRIME_LIMIT | -       |
| 3119  | FAIL_PRIME_LIMIT | -       |
| 3121  | FAIL_PRIME_LIMIT | -       |
| 3137  | FAIL_PRIME_LIMIT | -       |
| 3163  | FAIL_PRIME_LIMIT | -       |
| 3167  | FAIL_PRIME_LIMIT | -       |
| 3169  | FAIL_PRIME_LIMIT | -       |
| 3181  | FAIL_PRIME_LIMIT | -       |
| 3187  | FAIL_PRIME_LIMIT | -       |
| 3191  | FAIL_PRIME_LIMIT | -       |
| 3203  | FAIL_PRIME_LIMIT | -       |
| 3209  | FAIL_PRIME_LIMIT | -       |
| 3217  | FAIL_PRIME_LIMIT | -       |
| 3221  | FAIL_PRIME_LIMIT | -       |
| 3229  | FAIL_PRIME_LIMIT | -       |
| 3251  | FAIL_PRIME_LIMIT | -       |
| 3253  | FAIL_PRIME_LIMIT | -       |
| 3257  | FAIL_PRIME_LIMIT | -       |
| 3259  | FAIL_PRIME_LIMIT | -       |
| 3271  | FAIL_PRIME_LIMIT | -       |
| 3299  | FAIL_PRIME_LIMIT | -       |
| 3301  | FAIL_PRIME_LIMIT | -       |
| 3307  | FAIL_PRIME_LIMIT | -       |
| 3313  | FAIL_PRIME_LIMIT | -       |
| 3319  | FAIL_PRIME_LIMIT | -       |
| 3323  | FAIL_PRIME_LIMIT | -       |
| 3329  | FAIL_PRIME_LIMIT | -       |
| 3331  | FAIL_PRIME_LIMIT | -       |
| 3343  | FAIL_PRIME_LIMIT | -       |
| 3347  | FAIL_PRIME_LIMIT | -       |
| 3359  | FAIL_PRIME_LIMIT | -       |
| 3361  | FAIL_PRIME_LIMIT | -       |
| 3371  | FAIL_PRIME_LIMIT | -       |
| 3373  | FAIL_PRIME_LIMIT | -       |
| 3389  | FAIL_PRIME_LIMIT | -       |
| 3391  | FAIL_PRIME_LIMIT | -       |
| 3407  | FAIL_PRIME_LIMIT | -       |
| 3413  | FAIL_PRIME_LIMIT | -       |
| 3433  | FAIL_PRIME_LIMIT | -       |
| 3449  | FAIL_PRIME_LIMIT | -       |
| 3457  | FAIL_PRIME_LIMIT | -       |
| 3461  | FAIL_PRIME_LIMIT | -       |
| 3463  | FAIL_PRIME_LIMIT | -       |
| 3467  | FAIL_PRIME_LIMIT | -       |
| 3469  | FAIL_PRIME_LIMIT | -       |
| 3491  | FAIL_PRIME_LIMIT | -       |
| 3499  | FAIL_PRIME_LIMIT | -       |
