y,M_cert,first_prime,last_prime,num_bits,den_bits,status
8179,19902,8179,236323,286506,286506,PASS
8219,19945,8219,236891,287142,287142,PASS
8233,19960,8233,237137,287403,287403,PASS
8263,19993,8263,237673,287925,287924,PASS
8287,20019,8287,238009,288414,288413,PASS
8297,20029,8297,238157,288598,288597,PASS
8329,20064,8329,238573,289217,289216,PASS
8369,20106,8369,239167,289924,289924,PASS
8389,20129,8389,239489,290298,290298,PASS
8429,20171,8429,240017,290944,290943,PASS
8447,20191,8447,240283,291327,291326,PASS
8501,20247,8501,241051,292148,292148,PASS
8527,20275,8527,241421,292638,292638,PASS
8543,20292,8543,241643,292949,292948,PASS
8581,20333,8581,242129,293611,293610,PASS
8609,20362,8609,242521,294091,294091,PASS
8629,20382,8629,242807,294471,294471,PASS
8663,20419,8663,243401,295107,295106,PASS
8681,20437,8681,243613,295450,295449,PASS
8699,20456,8699,243889,295796,295795,PASS
8719,20477,8719,244219,296160,296160,PASS
8741,20500,8741,244471,296577,296576,PASS
8761,20520,8761,244721,296914,296914,PASS
8803,20564,8803,245339,297649,297649,PASS
8821,20583,8821,245621,297984,297984,PASS
8839,20601,8839,245863,298295,298295,PASS
8863,20626,8863,246217,298734,298733,PASS
8893,20657,8893,246641,299252,299251,PASS
8933,20698,8933,247193,299868,299868,PASS
8963,20729,8963,247607,300326,300325,PASS
8999,20766,8999,248063,300966,300966,PASS
9011,20778,9011,248203,301205,301205,PASS
9041,20808,9041,248609,301718,301718,PASS
9059,20827,9059,248851,302070,302070,PASS
9103,20871,9103,249437,302786,302785,PASS
9133,20902,9133,249859,303242,303241,PASS
9157,20926,9157,250169,303648,303647,PASS
9181,20950,9181,250703,304072,304071,PASS
9203,20973,9203,250969,304464,304464,PASS
9227,20997,9227,251233,304888,304887,PASS
9257,21027,9257,251611,305375,305374,PASS
9283,21053,9283,251971,305863,305862,PASS
9319,21088,9319,252449,306484,306484,PASS
9341,21111,9341,252827,306876,306876,PASS
9371,21140,9371,253321,307352,307351,PASS
9397,21167,9397,253637,307776,307776,PASS
9419,21188,9419,253901,308144,308143,PASS
9433,21202,9433,254053,308418,308417,PASS
9461,21230,9461,254537,308884,308883,PASS
