PS C:\Users\stran\Documents\Lehmer\code\V3> python appendixB_table_generator.py --verify-casec-table appendixB_fast_output.txt
[exact] sieving primes up to 4132637 ...

[B.2 exact certificate from saved Case C table]
y,mreq_y,first_prime,last_prime,num_digits,den_digits,status
Exact Case C [#################---------------] 167/302 ( 55.3%)997,81219,997,1039681,385511,385510,PASS
Exact Case C [#################---------------] 168/302 ( 55.6%)1009,82269,1009,1054393,390920,390920,PASS
Exact Case C [#################---------------] 169/302 ( 56.0%)1013,83320,1013,1069217,396424,396423,PASS
Exact Case C [##################--------------] 170/302 ( 56.3%)1019,84383,1019,1083847,401937,401937,PASS
Exact Case C [##################--------------] 171/302 ( 56.6%)1021,85453,1021,1098707,407449,407449,PASS
Exact Case C [##################--------------] 172/302 ( 57.0%)1031,86536,1031,1113379,413054,413054,PASS
Exact Case C [##################--------------] 173/302 ( 57.3%)1033,87623,1033,1128769,418730,418730,PASS
Exact Case C [##################--------------] 174/302 ( 57.6%)1039,88723,1039,1144271,424478,424478,PASS
Exact Case C [##################--------------] 175/302 ( 57.9%)1049,89831,1049,1159601,430296,430296,PASS
Exact Case C [##################--------------] 176/302 ( 58.3%)1051,90943,1051,1174969,436118,436118,PASS
Exact Case C [##################--------------] 177/302 ( 58.6%)1061,92068,1061,1190311,442025,442024,PASS
Exact Case C [##################--------------] 178/302 ( 58.9%)1063,93197,1063,1206407,447962,447962,PASS
Exact Case C [##################--------------] 179/302 ( 59.3%)1069,94339,1069,1222513,454015,454014,PASS
Exact Case C [###################-------------] 180/302 ( 59.6%)1087,95489,1087,1238947,460016,460015,PASS
Exact Case C [###################-------------] 181/302 ( 59.9%)1091,96636,1091,1255049,465966,465966,PASS
Exact Case C [###################-------------] 182/302 ( 60.3%)1093,97793,1093,1270981,471999,471998,PASS
Exact Case C [###################-------------] 183/302 ( 60.6%)1097,98963,1097,1287499,478075,478075,PASS
Exact Case C [###################-------------] 184/302 ( 60.9%)1103,100144,1103,1304207,484365,484365,PASS
Exact Case C [###################-------------] 185/302 ( 61.3%)1109,101334,1109,1321283,490660,490659,PASS
Exact Case C [###################-------------] 186/302 ( 61.6%)1117,102532,1117,1338229,496970,496969,PASS
Exact Case C [###################-------------] 187/302 ( 61.9%)1123,103737,1123,1355309,503266,503265,PASS
Exact Case C [###################-------------] 188/302 ( 62.3%)1129,104951,1129,1372451,509659,509659,PASS
Exact Case C [####################------------] 189/302 ( 62.6%)1151,106174,1151,1389673,516130,516130,PASS
Exact Case C [####################------------] 190/302 ( 62.9%)1153,107388,1153,1406807,522621,522621,PASS
Exact Case C [####################------------] 191/302 ( 63.2%)1163,108616,1163,1424531,529193,529193,PASS
Exact Case C [####################------------] 192/302 ( 63.6%)1171,109847,1171,1441579,535799,535799,PASS
Exact Case C [####################------------] 193/302 ( 63.9%)1181,111085,1181,1459153,542414,542413,PASS
Exact Case C [####################------------] 194/302 ( 64.2%)1187,112328,1187,1476973,549044,549043,PASS
Exact Case C [####################------------] 195/302 ( 64.6%)1193,113579,1193,1494343,555659,555659,PASS
Exact Case C [####################------------] 196/302 ( 64.9%)1201,114838,1201,1511999,562318,562318,PASS
Exact Case C [####################------------] 197/302 ( 65.2%)1213,116105,1213,1530329,569135,569135,PASS
Exact Case C [####################------------] 198/302 ( 65.6%)1217,117373,1217,1548719,575893,575893,PASS
Exact Case C [#####################-----------] 199/302 ( 65.9%)1223,118653,1223,1566889,582777,582776,PASS
Exact Case C [#####################-----------] 200/302 ( 66.2%)1229,119941,1229,1585537,589582,589582,PASS
Exact Case C [#####################-----------] 201/302 ( 66.6%)1231,121239,1231,1604093,596581,596581,PASS
Exact Case C [#####################-----------] 202/302 ( 66.9%)1237,122549,1237,1623023,603654,603653,PASS
Exact Case C [#####################-----------] 203/302 ( 67.2%)1249,123868,1249,1641953,610712,610712,PASS
Exact Case C [#####################-----------] 204/302 ( 67.5%)1259,125190,1259,1660837,617853,617853,PASS
Exact Case C [#####################-----------] 205/302 ( 67.9%)1277,126516,1277,1679521,625064,625064,PASS
Exact Case C [#####################-----------] 206/302 ( 68.2%)1279,127838,1279,1698713,632155,632154,PASS
Exact Case C [#####################-----------] 207/302 ( 68.5%)1283,129173,1283,1718011,639247,639247,PASS
Exact Case C [######################----------] 208/302 ( 68.9%)1289,130519,1289,1737613,646441,646441,PASS
Exact Case C [######################----------] 209/302 ( 69.2%)1291,131874,1291,1756789,653957,653956,PASS
Exact Case C [######################----------] 210/302 ( 69.5%)1297,133242,1297,1776847,661350,661350,PASS
Exact Case C [######################----------] 211/302 ( 69.9%)1301,134620,1301,1796591,668703,668702,PASS
Exact Case C [######################----------] 212/302 ( 70.2%)1303,136008,1303,1816411,676256,676256,PASS
Exact Case C [######################----------] 213/302 ( 70.5%)1307,137409,1307,1836641,683841,683841,PASS
Exact Case C [######################----------] 214/302 ( 70.9%)1319,138822,1319,1856969,691493,691492,PASS
Exact Case C [######################----------] 215/302 ( 71.2%)1321,140237,1321,1877189,699160,699160,PASS
Exact Case C [######################----------] 216/302 ( 71.5%)1327,141665,1327,1897741,706933,706933,PASS
Exact Case C [######################----------] 217/302 ( 71.9%)1361,143103,1361,1918451,714677,714676,PASS
Exact Case C [#######################---------] 218/302 ( 72.2%)1367,144519,1367,1939097,722316,722316,PASS
Exact Case C [#######################---------] 219/302 ( 72.5%)1373,145945,1373,1959707,730166,730166,PASS
Exact Case C [#######################---------] 220/302 ( 72.8%)1381,147379,1381,1980899,738050,738050,PASS
Exact Case C [#######################---------] 221/302 ( 73.2%)1399,148821,1399,2001553,745933,745933,PASS
Exact Case C [#######################---------] 222/302 ( 73.5%)1409,150258,1409,2022077,753820,753820,PASS
Exact Case C [#######################---------] 223/302 ( 73.8%)1423,151700,1423,2043053,761648,761648,PASS
Exact Case C [#######################---------] 224/302 ( 74.2%)1427,153143,1427,2064169,769495,769495,PASS
Exact Case C [#######################---------] 225/302 ( 74.5%)1429,154597,1429,2085673,777366,777365,PASS
Exact Case C [#######################---------] 226/302 ( 74.8%)1433,156063,1433,2106847,785421,785421,PASS
Exact Case C [########################--------] 227/302 ( 75.2%)1439,157540,1439,2128447,793501,793501,PASS
Exact Case C [########################--------] 228/302 ( 75.5%)1447,159026,1447,2150039,801614,801614,PASS
Exact Case C [########################--------] 229/302 ( 75.8%)1451,160519,1451,2171759,809913,809913,PASS
Exact Case C [########################--------] 230/302 ( 76.2%)1453,162023,1453,2193649,818183,818183,PASS
Exact Case C [########################--------] 231/302 ( 76.5%)1459,163540,1459,2216143,826515,826515,PASS
Exact Case C [########################--------] 232/302 ( 76.8%)1471,165066,1471,2238473,834926,834926,PASS
Exact Case C [########################--------] 233/302 ( 77.2%)1481,166595,1481,2260691,843284,843284,PASS
Exact Case C [########################--------] 234/302 ( 77.5%)1483,168128,1483,2283077,851640,851640,PASS
Exact Case C [########################--------] 235/302 ( 77.8%)1487,169675,1487,2305903,860143,860143,PASS
Exact Case C [#########################-------] 236/302 ( 78.1%)1489,171233,1489,2328971,868694,868694,PASS
Exact Case C [#########################-------] 237/302 ( 78.5%)1493,172805,1493,2352473,877197,877196,PASS
Exact Case C [#########################-------] 238/302 ( 78.8%)1499,174388,1499,2375743,885934,885934,PASS
Exact Case C [#########################-------] 239/302 ( 79.1%)1511,175980,1511,2398699,894862,894862,PASS
Exact Case C [#########################-------] 240/302 ( 79.5%)1523,177575,1523,2422351,903753,903753,PASS
Exact Case C [#########################-------] 241/302 ( 79.8%)1531,179172,1531,2446013,912590,912590,PASS
Exact Case C [#########################-------] 242/302 ( 80.1%)1543,180777,1543,2469659,921551,921551,PASS
Exact Case C [#########################-------] 243/302 ( 80.5%)1549,182385,1549,2493587,930369,930369,PASS
Exact Case C [#########################-------] 244/302 ( 80.8%)1553,184002,1553,2517289,939432,939432,PASS
Exact Case C [#########################-------] 245/302 ( 81.1%)1559,185630,1559,2541251,948498,948498,PASS
Exact Case C [##########################------] 246/302 ( 81.5%)1567,187268,1567,2565611,957634,957634,PASS
Exact Case C [##########################------] 247/302 ( 81.8%)1571,188912,1571,2589341,966698,966698,PASS
Exact Case C [##########################------] 248/302 ( 82.1%)1579,190568,1579,2614133,975860,975860,PASS
Exact Case C [##########################------] 249/302 ( 82.5%)1583,192230,1583,2638693,985077,985076,PASS
Exact Case C [##########################------] 250/302 ( 82.8%)1597,193904,1597,2663189,994426,994426,PASS
Exact Case C [##########################------] 251/302 ( 83.1%)1601,195579,1601,2688173,1003712,1003712,PASS
Exact Case C [##########################------] 252/302 ( 83.4%)1607,197266,1607,2712851,1013140,1013140,PASS
Exact Case C [##########################------] 253/302 ( 83.8%)1609,198961,1609,2738389,1022711,1022711,PASS
Exact Case C [##########################------] 254/302 ( 84.1%)1613,200671,1613,2763659,1032285,1032285,PASS
Exact Case C [###########################-----] 255/302 ( 84.4%)1619,202391,1619,2789441,1041881,1041881,PASS
Exact Case C [###########################-----] 256/302 ( 84.8%)1621,204122,1621,2814563,1051526,1051525,PASS
Exact Case C [###########################-----] 257/302 ( 85.1%)1627,205865,1627,2840041,1061316,1061316,PASS
Exact Case C [###########################-----] 258/302 ( 85.4%)1637,207619,1637,2866289,1071151,1071151,PASS
Exact Case C [###########################-----] 259/302 ( 85.8%)1657,209377,1657,2892937,1081011,1081011,PASS
Exact Case C [###########################-----] 260/302 ( 86.1%)1663,211131,1663,2919071,1090873,1090872,PASS
Exact Case C [###########################-----] 261/302 ( 86.4%)1667,212893,1667,2945473,1100670,1100670,PASS
Exact Case C [###########################-----] 262/302 ( 86.8%)1669,214668,1669,2972041,1110655,1110654,PASS
Exact Case C [###########################-----] 263/302 ( 87.1%)1693,216456,1693,2998483,1120723,1120723,PASS
Exact Case C [###########################-----] 264/302 ( 87.4%)1697,218235,1697,3025301,1130674,1130674,PASS
Exact Case C [############################----] 265/302 ( 87.7%)1699,220025,1699,3052417,1140862,1140861,PASS
Exact Case C [############################----] 266/302 ( 88.1%)1709,221829,1709,3079081,1150949,1150949,PASS
Exact Case C [############################----] 267/302 ( 88.4%)1721,223638,1721,3106079,1161123,1161122,PASS
Exact Case C [############################----] 268/302 ( 88.7%)1723,225450,1723,3133171,1171334,1171334,PASS
Exact Case C [############################----] 269/302 ( 89.1%)1733,227276,1733,3160519,1181607,1181607,PASS
Exact Case C [############################----] 270/302 ( 89.4%)1741,229107,1741,3187813,1191953,1191953,PASS
Exact Case C [############################----] 271/302 ( 89.7%)1747,230945,1747,3214711,1202445,1202445,PASS
Exact Case C [############################----] 272/302 ( 90.1%)1753,232793,1753,3242191,1212926,1212925,PASS
Exact Case C [############################----] 273/302 ( 90.4%)1759,234650,1759,3270121,1223316,1223316,PASS
Exact Case C [#############################---] 274/302 ( 90.7%)1777,236516,1777,3298091,1233890,1233889,PASS
Exact Case C [#############################---] 275/302 ( 91.1%)1783,238380,1783,3326177,1244477,1244477,PASS
Exact Case C [#############################---] 276/302 ( 91.4%)1787,240253,1787,3354667,1255072,1255072,PASS
Exact Case C [#############################---] 277/302 ( 91.7%)1789,242138,1789,3383207,1265857,1265856,PASS
Exact Case C [#############################---] 278/302 ( 92.1%)1801,244036,1801,3411329,1276647,1276646,PASS
Exact Case C [#############################---] 279/302 ( 92.4%)1811,245938,1811,3439663,1287530,1287530,PASS
Exact Case C [#############################---] 280/302 ( 92.7%)1823,247845,1823,3468701,1298350,1298349,PASS
Exact Case C [#############################---] 281/302 ( 93.0%)1831,249755,1831,3498377,1309178,1309177,PASS
Exact Case C [#############################---] 282/302 ( 93.4%)1847,251673,1847,3527851,1320127,1320127,PASS
Exact Case C [#############################---] 283/302 ( 93.7%)1861,253591,1861,3556951,1331131,1331130,PASS
Exact Case C [##############################--] 284/302 ( 94.0%)1867,255509,1867,3586073,1342127,1342127,PASS
Exact Case C [##############################--] 285/302 ( 94.4%)1871,257437,1871,3614407,1353200,1353200,PASS
Exact Case C [##############################--] 286/302 ( 94.7%)1873,259376,1873,3643631,1364176,1364176,PASS
